layer,token,head,reads_from,weight,time
0,0,0,0,1.0,0
0,1,0,0,0.5000646114349365,1
0,1,0,1,0.49993541836738586,2
0,2,0,0,0.33339011669158936,3
0,2,0,1,0.333304762840271,4
0,2,0,2,0.3333051800727844,5
0,3,0,0,0.24996967613697052,6
0,3,0,1,0.2500326931476593,7
0,3,0,2,0.2500323951244354,8
0,3,0,3,0.24996523559093475,9
0,4,0,0,0.2000303417444229,10
0,4,0,1,0.19997850060462952,11
0,4,0,2,0.1999787539243698,12
0,4,0,3,0.2000339925289154,13
0,4,0,4,0.19997841119766235,14
0,5,0,0,0.16669483482837677,15
0,5,0,1,0.16665178537368774,16
0,5,0,2,0.16665199398994446,17
0,5,0,3,0.16669785976409912,18
0,5,0,4,0.16665171086788177,19
0,5,0,5,0.16665180027484894,20
0,6,0,0,0.14283691346645355,21
0,6,0,1,0.14287373423576355,22
0,6,0,2,0.14287357032299042,23
0,6,0,3,0.14283432066440582,24
0,6,0,4,0.14287380874156952,25
0,6,0,5,0.14287373423576355,26
0,6,0,6,0.14283387362957,27
0,0,1,0,1.0,28
0,1,1,0,0.4998888075351715,29
0,1,1,1,0.5001111030578613,30
0,2,1,0,0.3332356810569763,31
0,2,1,1,0.3333825469017029,32
0,2,1,2,0.33338186144828796,33
0,3,1,0,0.25005218386650085,34
0,3,1,1,0.24994374811649323,35
0,3,1,2,0.249944269657135,36
0,3,1,3,0.2500598132610321,37
0,4,1,0,0.199947789311409,38
0,4,1,1,0.20003698766231537,39
0,4,1,2,0.20003655552864075,40
0,4,1,3,0.1999415010213852,41
0,4,1,4,0.2000371366739273,42
0,5,1,0,0.166618213057518,43
0,5,1,1,0.16669225692749023,44
0,5,1,2,0.16669189929962158,45
0,5,1,3,0.16661301255226135,46
0,5,1,4,0.16669239103794098,47
0,5,1,5,0.16669224202632904,48
0,6,1,0,0.14289194345474243,49
0,6,1,1,0.1428285539150238,50
0,6,1,2,0.14282886683940887,51
0,6,1,3,0.14289641380310059,52
0,6,1,4,0.14282844960689545,53
0,6,1,5,0.1428285837173462,54
0,6,1,6,0.14289717376232147,55
1,0,0,0,1.0,56
1,1,0,0,0.5000296235084534,57
1,1,0,1,0.49997034668922424,58
1,2,0,0,0.33335939049720764,59
1,2,0,1,0.3333202302455902,60
1,2,0,2,0.3333204388618469,61
1,3,0,0,0.24998614192008972,62
1,3,0,1,0.2500150203704834,63
1,3,0,2,0.25001487135887146,64
1,3,0,3,0.24998395144939423,65
1,4,0,0,0.2000138908624649,66
1,4,0,1,0.19999009370803833,67
1,4,0,2,0.19999021291732788,68
1,4,0,3,0.20001569390296936,69
1,4,0,4,0.19999006390571594,70
1,5,0,0,0.16667957603931427,71
1,5,0,1,0.16665983200073242,72
1,5,0,2,0.16665992140769958,73
1,5,0,3,0.16668106615543365,74
1,5,0,4,0.16665978729724884,75
1,5,0,5,0.16665983200073242,76
1,6,0,0,0.14284786581993103,77
1,6,0,1,0.14286477863788605,78
1,6,0,2,0.14286470413208008,79
1,6,0,3,0.14284659922122955,80
1,6,0,4,0.14286480844020844,81
1,6,0,5,0.14286477863788605,82
1,6,0,6,0.14284637570381165,83
1,0,1,0,1.0,84
1,1,1,0,0.5002477765083313,85
1,1,1,1,0.4997522234916687,86
1,2,1,0,0.3335510790348053,87
1,2,1,1,0.3332236409187317,88
1,2,1,2,0.333225280046463,89
1,3,1,0,0.24988414347171783,90
1,3,1,1,0.25012555718421936,91
1,3,1,2,0.25012436509132385,92
1,3,1,3,0.24986591935157776,93
1,4,1,0,0.20011620223522186,94
1,4,1,1,0.19991730153560638,95
1,4,1,2,0.19991829991340637,96
1,4,1,3,0.20013123750686646,97
1,4,1,4,0.19991694390773773,98
1,5,1,0,0.16677457094192505,99
1,5,1,1,0.16660943627357483,100
1,5,1,2,0.16661027073860168,101
1,5,1,3,0.1667870432138443,102
1,5,1,4,0.16660913825035095,103
1,5,1,5,0.1666094958782196,104
1,6,1,0,0.14277978241443634,105
1,6,1,1,0.1429210603237152,106
1,6,1,2,0.1429203599691391,107
1,6,1,3,0.14276911318302155,108
1,6,1,4,0.1429213136434555,109
1,6,1,5,0.14292101562023163,110
1,6,1,6,0.1427673101425171,111
